"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"UBISYN-PWY",1.00254198707814,0.514674259556126,0.474792208287844,60.0138078840969,0.530398502952186
"PWY-6641",1.00000024711638,0.496522125864778,0.482110661761224,63.4062883556682,0.536961575374776
"GLYCOCAT-PWY",1.40020276729863,0.939324952706049,0.493324860544649,60.9936008284433,0.547811486933162
"PWY-5855",1.00255043161641,0.452277136864102,0.503042771846621,60.1208298225252,0.55201153724762
"PWY-5856",1.00255043161641,0.452277136864102,0.503042771846621,60.1208298225252,0.55201153724762
"PWY-5857",1.00255043161641,0.452277136864102,0.503042771846621,60.1208298225252,0.55201153724762
"PWY-6708",1.00255043161641,0.452277136864102,0.503042771846621,60.1208298225252,0.55201153724762
"PWY-7376",1.00000033520545,0.419356188029268,0.51820407886859,4.48445531641428,0.565313540583916
"PWY-7616",1.00000042372871,0.419356205568247,0.518204043936803,4.48445545870501,0.565313540583916
"P562-PWY",2.01812287687724,0.494042933411937,0.525032444357289,30.4751123721627,0.570382747789562
"PWY-6609",1.00018203754617,0.404258267139521,0.525917426053279,12.3865221419756,0.570382747789562
"DENITRIFICATION-PWY",1.98031453823112,0.767310644310502,0.548352405236075,19.0541906086123,0.592985740545988
"PWY0-1533",1.00014664380576,0.352280354531044,0.553756093202579,69.7955970715038,0.597093526583651
"PWY-7007",1.47603649712409,0.377909803520765,0.578417397790235,14.4504130621649,0.621882288953663
"PRPP-PWY",1.00128071279881,0.299816350755344,0.586011854954436,30.0091310283559,0.62463154740129
"PWY-6353",1.65306041560618,0.584361413044376,0.583229164127691,28.9345655399737,0.62463154740129
"PWY-7242",1.00027708908036,0.300191461185618,0.584560829004096,14.3556601550561,0.62463154740129
"PWY-621",1.57053038117127,0.44072499753542,0.607765323041081,65.9840998099685,0.645967714775092
"PWY1G-0",1.0000136710102,0.23699950093678,0.627089135954683,34.1981119005252,0.664607289387869
"FUC-RHAMCAT-PWY",1.80907398901761,0.357267616200165,0.629376677614123,16.3299281738769,0.665136716114926
"FOLSYN-PWY",2.00792241843932,0.452239819611084,0.638396433951165,10.2048969035629,0.672757715098678
"GALACT-GLUCUROCAT-PWY",1.00046446044526,0.207134051158715,0.650180409858787,7.53405947116454,0.683240430699064
"PWY-6612",2.02520335063897,0.428449910087486,0.653014281668132,10.4044957923036,0.684285388114212
