"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_155",23.727721814953,3.61684695111625,1.64589699270883,2.19749289727033,0.0279852631913634,0.0983724403090349,"Intestinimonas"
"ASV_192",28.625705427204,-2.73871849594612,1.27886852044137,-2.14151685819971,0.0322323804773674,0.109969298099254,"Paraprevotella"
"ASV_441",5.5026086405495,-2.46933769061814,1.20702051403642,-2.04581252920083,0.0407748188506895,0.135139399619428,"GCA-900066575"
"ASV_24",535.707798558126,1.43277317639735,0.7104464180724,2.0167223592805,0.0437244952298498,0.140890040185072,"Anaerostipes"
"ASV_166",64.6447356763541,-1.36661542707305,0.687091657572637,-1.98898562078463,0.0467027901265045,0.146419558234446,"Erysipelatoclostridium"
"ASV_30",279.684818720267,1.66637894320966,0.847611881878819,1.9659693060413,0.0493021562795166,0.150501319169051,"Erysipelotrichaceae UCG-003"
"ASV_17",1373.2258566231,-1.59442964784373,0.827035451537163,-1.9278854913417,0.053869370769708,0.152410902665515,"Bacteroides"
"ASV_106",77.2863641718378,2.84664095282338,1.47073555715001,1.93552194953361,0.0529262778257645,0.152410902665515,"[Eubacterium] siraeum group"
"ASV_270",15.8568815677687,2.12611175424833,1.09375601215905,1.94386291879799,0.0519119839171976,0.152410902665515,"Senegalimassilia"
"ASV_405",13.9096637289298,2.81773687178817,1.5278734126944,1.84422141806833,0.0651508782098679,0.179940520770111,"UCG-009"
"ASV_33",247.051924010586,-2.21724565592096,1.22292295122461,-1.81307060571613,0.0698209321227334,0.184073366505388,"Dialister"
"ASV_703",4.34809986759421,2.3502518096159,1.28988902284309,1.82205737702584,0.0684462801214489,0.184073366505388,"Fournierella"
"ASV_657",4.02684602099401,3.19810976912267,1.82707443218421,1.75039927919052,0.0800494403184781,0.206349668376521,NA
"ASV_205",20.3790365540096,2.04708647484368,1.18329584125138,1.72998704421948,0.0836325900008581,0.210899574784773,"Defluviitaleaceae UCG-011"
"ASV_94",140.870275957014,1.37146978729214,0.801937600257401,1.71019514093358,0.087229793945046,0.215290555268624,"Lachnoclostridium"
"ASV_76",77.7969888276594,-1.65768038372069,0.998533337387121,-1.66011521263613,0.096891277108421,0.22937526825667,"Romboutsia"
"ASV_603",3.28764247553798,-2.32961641936681,1.39578147372464,-1.66904093744004,0.0951092670445657,0.22937526825667,NA
"ASV_34",423.449098487774,1.29513469808318,0.788934315375753,1.64162551031429,0.100667637530548,0.233548919070871,"Streptococcus"
"ASV_191",33.2766328016593,2.99393757886451,1.85020565831993,1.61816475125427,0.105627097045938,0.24024986779076,NA
"ASV_491",6.09445705956507,-1.88454820494634,1.18975754267952,-1.58397668209107,0.113199025535512,0.252520903117681,NA
"ASV_126",105.757139182856,1.36353352583485,0.886299634773496,1.53845660354279,0.123937011440731,0.270909969656787,"[Eubacterium] ventriosum group"
"ASV_225",47.0523393174538,-1.99523522600554,1.30440770058355,-1.5296101250498,0.12611326173678,0.270909969656787,"Parabacteroides"
"ASV_2",2083.83440172748,-0.821749984517852,0.547015789846205,-1.50224179954456,0.133034673323561,0.280582220100602,"Subdoligranulum"
"ASV_170",26.483023124976,1.51542630853502,1.0911836005991,1.38879131587296,0.164896216714573,0.341570734623045,"Moryella"
"ASV_469",5.7674695090509,1.81462452996621,1.33826991107609,1.3559480901032,0.175115684970967,0.356375779940915,"Family XIII UCG-001"
"ASV_449",6.43638597913645,-1.96813467543881,1.4640963912451,-1.34426577867941,0.178862457508137,0.357724915016274,"Hungatella"
"ASV_371",16.1387018316691,-1.22440888883859,0.949235157313796,-1.28988994919183,0.197088870946978,0.387496763217787,"Flavonifractor"
"ASV_3",1656.7246665842,0.704822208300132,0.553668041008986,1.27300504290565,0.203016252380577,0.392498087935783,NA
