"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Early","ASV_586",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
"Early","ASV_713",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
"Early","ASV_1057",137,361.64086673438,0.000525486074619023,0.98542636059142,0.98542636059142
"Early","ASV_479",136,352.822026073377,0.0005249343832021,0.98073967026936,0.98073967026936
"Early","ASV_619",136,352.822026073377,0.0005249343832021,0.98073967026936,0.98073967026936
"Early","ASV_956",137,351.942148254067,0.000525210084033613,0.985121687398715,0.985121687398715
"Early","ASV_207",137,347.94779038484,0.000525486074619023,0.986262625060043,0.986262625060043
"Early","ASV_787",137,347.94779038484,0.000525486074619023,0.986262625060043,0.986262625060043
"Early","ASV_358",136,340.742604777297,0.000524658971668416,0.980831147273677,0.980831147273677
"Early","ASV_701",137,336.847823896565,0.000522739153162572,0.982118075511291,0.982118075511292
"Early","ASV_347",135,336.347492815021,0.000524383848977452,0.975296210433319,0.975296210433319
"Early","ASV_640",135,335.063954047907,0.000524658971668416,0.976040997897624,0.976040997897625
"Early","ASV_377",139,334.088666456513,0.000522193211488251,0.992269645391928,0.992269645391928
"Early","ASV_265",135,333.952297078035,0.000524383848977452,0.976966975946366,0.976966975946367
"Early","ASV_744",135,333.952297078035,0.000524383848977452,0.976966975946367,0.976966975946367
"Early","ASV_711",137,307.868814974773,0.000519210799584631,0.977404644663499,0.977404644663499
"Early","ASV_896",137,307.868814974773,0.000519210799584631,0.977404644663499,0.977404644663499
"Early","ASV_316",136,298.304146927235,0.000518672199170124,0.972072206391819,0.972072206391819
"Early","ASV_725",136,295.827696123948,0.000521648408972353,0.976056691563083,0.976056691563083
"Late","ASV_162",67,14624.2900678911,0.000501756146512795,0.166693761585216,0.166693761585216
"Late","ASV_370",103,13482.0564120627,0.000508130081300813,0.120064083735606,0.120064083735606
"Late","ASV_212",40,11036.923695692,0.000446428571428571,0.0143463368789084,0.0143463368789085
"Late","ASV_775",74,7882.02007972365,0.000467508181393174,0.0539682272418318,0.053968227241832
"Late","ASV_16",69,7446.65629527051,0.000485672656629432,0.0385607023832465,0.0385607023832466
"Late","ASV_5",57,7110.75990045909,0.000491159135559921,0.0760171535389001,0.0760171535389003
"Late","ASV_45",49,6792.81340287617,0.000473484848484848,0.00374256133350222,0.0037425613335022
"Late","ASV_93",80,6746.06070109421,0.000456204379562044,0.0037753409668553,0.00377534096685539
"Late","ASV_165",35,6590.93037054686,0.000470145745181006,0.0467530891013317,0.0467530891013318
"Late","ASV_222",81,6439.7547488176,0.000465332712889716,0.0130179180616901,0.0130179180616904
"Late","ASV_789",151,6258.33829175952,0.000490436488474743,0.744789104640288,0.744789104640288
"Late","ASV_479",73,6178.78220693349,0.000461680517082179,0.0752994557101336,0.0752994557101338
"Late","ASV_394",69,6059.08921090199,0.00043122035360069,0.0222278164250933,0.0222278164250935
"Late","ASV_543",51,5777.44024605185,0.000460405156537753,0.0182435244489994,0.0182435244489995
"Late","ASV_166",45,5753.59725794255,0.000456204379562044,0.00239171036371458,0.00239171036371469
"Late","ASV_72",55,5632.35758528301,0.000431592576607682,0.180473326547607,0.180473326547607
"Late","ASV_215",104,5524.66830671118,0.000464900046490005,0.0050225223415567,0.00502252234155682
"Late","ASV_364",124,5210.02713253509,0.000488042947779405,0.558819380250916,0.558819380250916
"Late","ASV_111",135,5194.42968802589,0.000513083632632119,0.631243123955034,0.631243123955035
"Late","ASV_294",108,5068.86580259734,0.000466417910447761,0.0205505717888088,0.0205505717888088
"Late","ASV_833",70,4977.70185659556,0.000451875282422052,0.00306454700277081,0.00306454700277093
"Late","ASV_37",72,4934.689172108,0.000493096646942801,0.220921363323989,0.220921363323989
"Late","ASV_235",84,4885.79182179498,0.000455996352029184,0.0037335848681737,0.00373358486817384
"Late","ASV_757",45,4788.0884247893,0.000447427293064877,0.0569989721402578,0.0569989721402579
"Late","ASV_306",94,4707.44314459914,0.000492368291482029,0.390941206739754,0.390941206739755
"Late","ASV_414",147,4672.29461474133,0.000482858522452921,0.753306247273848,0.753306247273848
"Late","ASV_141",54,4661.35658361021,0.000464252553389044,0.041851970936912,0.0418519709369123
"Late","ASV_193",52,4438.86820423566,0.000484730974309258,0.0162128523677501,0.0162128523677501
"Late","ASV_432",62,4331.01821739839,0.000457038391224863,0.084427172996273,0.0844271729962731
"Late","ASV_205",41,4308.53850875371,0.000445632798573975,0.0826904994962454,0.0826904994962455
"Late","ASV_550",48,4191.56080023215,0.000457875457875458,0.0124207432891727,0.0124207432891729
"Late","ASV_99",47,4091.44608408842,0.000439753737906772,0.00805723498111705,0.00805723498111716
"Late","ASV_157",139,3913.03645052359,0.0004995004995005,0.68309134900532,0.68309134900532
"Late","ASV_245",50,3885.2637993424,0.000428082191780822,0.00157003020131268,0.00157003020131276
"Late","ASV_194",73,3833.32065610564,0.000449842555105713,0.00330749801049523,0.00330749801049556
